# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
5.2480746E-01  8.9946827E-01
5.3703180E-01  9.0375676E-01
5.4954087E-01  9.0788496E-01
5.6234133E-01  9.1188588E-01
5.7543994E-01  9.1566245E-01
5.8884366E-01  9.1934912E-01
6.0255959E-01  9.2283714E-01
6.1659500E-01  9.2614508E-01
6.3095734E-01  9.2940852E-01
6.4565423E-01  9.3248919E-01
6.6069345E-01  9.3544042E-01
6.7608298E-01  9.3821974E-01
6.9183097E-01  9.4097410E-01
7.0794578E-01  9.4353499E-01
7.2443596E-01  9.4598369E-01
7.4131024E-01  9.4839115E-01
7.5857758E-01  9.5066191E-01
7.7624712E-01  9.5281002E-01
7.9432823E-01  9.5486518E-01
8.1283052E-01  9.5686864E-01
8.3176377E-01  9.5884366E-01
8.5113804E-01  9.6063244E-01
8.7096359E-01  9.6235016E-01
8.9125094E-01  9.6407157E-01
9.1201084E-01  9.6576082E-01
9.3325430E-01  9.6735291E-01
9.5499259E-01  9.6888012E-01
9.7723722E-01  9.7010822E-01
1.0000000E+00  9.7144564E-01
1.0232930E+00  9.7275149E-01
1.0471285E+00  9.7394060E-01
1.0715193E+00  9.7506812E-01
1.0964782E+00  9.7624895E-01
1.1220185E+00  9.7728234E-01
1.1481536E+00  9.7835677E-01
1.1748976E+00  9.7930899E-01
1.2022644E+00  9.8024993E-01
1.2302688E+00  9.8115585E-01
1.2589254E+00  9.8200907E-01
1.2882496E+00  9.8284716E-01
1.3182567E+00  9.8365943E-01
1.3489629E+00  9.8432790E-01
1.3803843E+00  9.8503803E-01
1.4125375E+00  9.8568381E-01
1.4454398E+00  9.8636010E-01
1.4791084E+00  9.8705988E-01
1.5135612E+00  9.8760821E-01
1.5488166E+00  9.8822341E-01
1.5848932E+00  9.8871777E-01
1.6218101E+00  9.8919495E-01
1.6595869E+00  9.8973094E-01
1.6982437E+00  9.9022770E-01
1.7378008E+00  9.9068085E-01
1.7782794E+00  9.9114106E-01
1.8197009E+00  9.9145362E-01
1.8620871E+00  9.9184377E-01
1.9054607E+00  9.9227877E-01
1.9498446E+00  9.9266094E-01
1.9952623E+00  9.9289862E-01
2.0417379E+00  9.9322213E-01
2.0892961E+00  9.9361267E-01
2.1379621E+00  9.9388592E-01
2.1877616E+00  9.9416244E-01
2.2387211E+00  9.9445241E-01
2.2908677E+00  9.9470817E-01
2.3442288E+00  9.9500272E-01
2.3988329E+00  9.9524677E-01
2.4547089E+00  9.9539242E-01
2.5118864E+00  9.9571473E-01
2.5703958E+00  9.9589772E-01
2.6302680E+00  9.9607580E-01
2.6915348E+00  9.9626997E-01
2.7542287E+00  9.9642745E-01
2.8183829E+00  9.9662293E-01
2.8840315E+00  9.9678726E-01
2.9512092E+00  9.9695115E-01
3.0199517E+00  9.9706631E-01
3.0902954E+00  9.9726216E-01
3.1622777E+00  9.9742414E-01
3.2359366E+00  9.9750875E-01
3.3113112E+00  9.9763728E-01
3.3884416E+00  9.9772965E-01
3.4673685E+00  9.9783960E-01
3.5481339E+00  9.9795516E-01
3.6307805E+00  9.9810428E-01
3.7153523E+00  9.9813448E-01
3.8018940E+00  9.9817287E-01
3.8904514E+00  9.9839363E-01
3.9810717E+00  9.9844860E-01
4.0738028E+00  9.9848534E-01
4.1686938E+00  9.9861999E-01
4.2657952E+00  9.9874440E-01
4.3651583E+00  9.9875249E-01
4.4668359E+00  9.9879178E-01
4.5708819E+00  9.9888343E-01
4.6773514E+00  9.9897333E-01
4.7863009E+00  9.9902912E-01
4.8977882E+00  9.9902169E-01
5.0118723E+00  9.9915482E-01
5.1286138E+00  9.9922700E-01
5.2480746E+00  9.9921588E-01
5.3703180E+00  9.9927034E-01
5.4954087E+00  9.9938895E-01
