# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
5.2480746E-01  8.6479623E-01
5.3703180E-01  8.7033412E-01
5.4954087E-01  8.7559306E-01
5.6234133E-01  8.8072331E-01
5.7543994E-01  8.8568587E-01
5.8884366E-01  8.9039489E-01
6.0255959E-01  8.9493000E-01
6.1659500E-01  8.9927352E-01
6.3095734E-01  9.0353296E-01
6.4565423E-01  9.0758683E-01
6.6069345E-01  9.1145727E-01
6.7608298E-01  9.1517213E-01
6.9183097E-01  9.1882630E-01
7.0794578E-01  9.2223834E-01
7.2443596E-01  9.2551169E-01
7.4131024E-01  9.2872110E-01
7.5857758E-01  9.3182639E-01
7.7624712E-01  9.3472649E-01
7.9432823E-01  9.3752199E-01
8.1283052E-01  9.4021467E-01
8.3176377E-01  9.4285588E-01
8.5113804E-01  9.4529390E-01
8.7096359E-01  9.4764562E-01
8.9125094E-01  9.4986103E-01
9.1201084E-01  9.5213522E-01
9.3325430E-01  9.5414441E-01
9.5499259E-01  9.5620912E-01
9.7723722E-01  9.5810363E-01
1.0000000E+00  9.5993797E-01
1.0232930E+00  9.6172787E-01
1.0471285E+00  9.6338319E-01
1.0715193E+00  9.6501686E-01
1.0964782E+00  9.6662169E-01
1.1220185E+00  9.6806800E-01
1.1481536E+00  9.6953929E-01
1.1748976E+00  9.7086771E-01
1.2022644E+00  9.7216999E-01
1.2302688E+00  9.7342622E-01
1.2589254E+00  9.7461344E-01
1.2882496E+00  9.7577595E-01
1.3182567E+00  9.7688376E-01
1.3489629E+00  9.7785970E-01
1.3803843E+00  9.7885454E-01
1.4125375E+00  9.7977463E-01
1.4454398E+00  9.8070965E-01
1.4791084E+00  9.8166029E-01
1.5135612E+00  9.8245085E-01
1.5488166E+00  9.8329432E-01
1.5848932E+00  9.8401055E-01
1.6218101E+00  9.8470098E-01
1.6595869E+00  9.8543636E-01
1.6982437E+00  9.8613020E-01
1.7378008E+00  9.8676785E-01
1.7782794E+00  9.8740275E-01
1.8197009E+00  9.8788611E-01
1.8620871E+00  9.8843763E-01
1.9054607E+00  9.8902623E-01
1.9498446E+00  9.8955810E-01
1.9952623E+00  9.8993578E-01
2.0417379E+00  9.9039911E-01
2.0892961E+00  9.9091928E-01
2.1379621E+00  9.9148829E-01
2.1877616E+00  9.9188586E-01
2.2387211E+00  9.9228701E-01
2.2908677E+00  9.9248325E-01
2.3442288E+00  9.9288236E-01
2.3988329E+00  9.9322675E-01
2.4547089E+00  9.9346846E-01
2.5118864E+00  9.9388242E-01
2.5703958E+00  9.9415741E-01
2.6302680E+00  9.9441312E-01
2.6915348E+00  9.9468717E-01
2.7542287E+00  9.9492067E-01
2.8183829E+00  9.9518921E-01
2.8840315E+00  9.9542110E-01
2.9512092E+00  9.9565176E-01
3.0199517E+00  9.9583148E-01
3.0902954E+00  9.9608922E-01
3.1622777E+00  9.9631157E-01
3.2359366E+00  9.9645028E-01
3.3113112E+00  9.9663206E-01
3.3884416E+00  9.9677394E-01
3.4673685E+00  9.9693370E-01
3.5481339E+00  9.9709608E-01
3.6307805E+00  9.9729045E-01
3.7153523E+00  9.9736187E-01
3.8018940E+00  9.9744078E-01
3.8904514E+00  9.9769986E-01
3.9810717E+00  9.9779180E-01
4.0738028E+00  9.9787140E-01
4.1686938E+00  9.9803888E-01
4.2657952E+00  9.9819650E-01
4.3651583E+00  9.9823521E-01
4.4668359E+00  9.9830392E-01
4.5708819E+00  9.9842391E-01
4.6773514E+00  9.9854074E-01
4.7863009E+00  9.9862221E-01
4.8977882E+00  9.9863240E-01
5.0118723E+00  9.9878887E-01
5.1286138E+00  9.9888353E-01
5.2480746E+00  9.9889323E-01
5.3703180E+00  9.9896801E-01
5.4954087E+00  9.9910668E-01
5.6234133E+00  9.9914105E-01
5.7543994E+00  9.9916954E-01
5.8884366E+00  9.9927700E-01
6.0255959E+00  9.9933254E-01
6.1659500E+00  9.9933749E-01
6.3095734E+00  9.9936331E-01
6.4565423E+00  9.9937112E-01
6.6069345E+00  9.9942648E-01
6.7608298E+00  9.9949572E-01
6.9183097E+00  9.9953520E-01
7.0794578E+00  9.9952319E-01
7.2443596E+00  9.9966492E-01
7.4131024E+00  9.9959231E-01
7.5857758E+00  9.9968075E-01
7.7624712E+00  9.9974455E-01
7.9432823E+00  9.9980037E-01
8.1283052E+00  9.9972266E-01
8.3176377E+00  9.9983572E-01
8.5113804E+00  9.9977661E-01
8.7096359E+00  9.9988584E-01
8.9125094E+00  9.9983069E-01
9.1201084E+00  9.9993289E-01
9.3325430E+00  9.9995364E-01
9.5499259E+00  9.9996968E-01
9.7723722E+00  9.9997209E-01
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
