# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
5.2480746E-01  9.7453991E-01
5.3703180E-01  9.7589182E-01
5.4954087E-01  9.7716476E-01
5.6234133E-01  9.7835149E-01
5.7543994E-01  9.7947872E-01
5.8884366E-01  9.8052821E-01
6.0255959E-01  9.8154254E-01
6.1659500E-01  9.8248187E-01
6.3095734E-01  9.8337690E-01
6.4565423E-01  9.8422102E-01
6.6069345E-01  9.8502819E-01
6.7608298E-01  9.8578386E-01
6.9183097E-01  9.8649394E-01
7.0794578E-01  9.8717761E-01
7.2443596E-01  9.8780332E-01
7.4131024E-01  9.8841618E-01
7.5857758E-01  9.8898021E-01
7.7624712E-01  9.8952341E-01
7.9432823E-01  9.9004735E-01
8.1283052E-01  9.9053452E-01
8.3176377E-01  9.9099895E-01
8.5113804E-01  9.9142735E-01
8.7096359E-01  9.9185215E-01
8.9125094E-01  9.9224560E-01
9.1201084E-01  9.9262090E-01
9.3325430E-01  9.9297883E-01
9.5499259E-01  9.9331525E-01
9.7723722E-01  9.9362831E-01
1.0000000E+00  9.9393295E-01
1.0232930E+00  9.9423281E-01
1.0471285E+00  9.9451813E-01
1.0715193E+00  9.9476974E-01
1.0964782E+00  9.9501146E-01
1.1220185E+00  9.9525198E-01
1.1481536E+00  9.9548529E-01
1.1748976E+00  9.9568885E-01
1.2022644E+00  9.9590249E-01
1.2302688E+00  9.9609782E-01
1.2589254E+00  9.9628174E-01
1.2882496E+00  9.9645064E-01
1.3182567E+00  9.9663083E-01
1.3489629E+00  9.9679178E-01
1.3803843E+00  9.9693472E-01
1.4125375E+00  9.9708473E-01
1.4454398E+00  9.9721423E-01
1.4791084E+00  9.9734561E-01
1.5135612E+00  9.9746510E-01
1.5488166E+00  9.9759339E-01
1.5848932E+00  9.9769814E-01
1.6218101E+00  9.9781510E-01
1.6595869E+00  9.9792575E-01
1.6982437E+00  9.9801404E-01
1.7378008E+00  9.9810739E-01
1.7782794E+00  9.9820673E-01
1.8197009E+00  9.9828182E-01
1.8620871E+00  9.9837200E-01
1.9054607E+00  9.9844931E-01
1.9498446E+00  9.9852385E-01
1.9952623E+00  9.9859370E-01
2.0417379E+00  9.9865197E-01
2.0892961E+00  9.9871683E-01
2.1379621E+00  9.9877735E-01
2.1877616E+00  9.9883545E-01
2.2387211E+00  9.9889946E-01
2.2908677E+00  9.9895303E-01
2.3442288E+00  9.9900361E-01
2.3988329E+00  9.9905197E-01
2.4547089E+00  9.9909799E-01
2.5118864E+00  9.9914205E-01
2.5703958E+00  9.9917546E-01
2.6302680E+00  9.9921535E-01
2.6915348E+00  9.9926192E-01
2.7542287E+00  9.9928967E-01
2.8183829E+00  9.9932414E-01
2.8840315E+00  9.9936556E-01
2.9512092E+00  9.9939802E-01
3.0199517E+00  9.9941915E-01
3.0902954E+00  9.9944847E-01
3.1622777E+00  9.9948365E-01
3.2359366E+00  9.9950206E-01
3.3113112E+00  9.9953553E-01
3.3884416E+00  9.9955928E-01
3.4673685E+00  9.9958215E-01
3.5481339E+00  9.9959541E-01
3.6307805E+00  9.9962468E-01
3.7153523E+00  9.9964497E-01
3.8018940E+00  9.9965519E-01
3.8904514E+00  9.9967342E-01
3.9810717E+00  9.9969958E-01
4.0738028E+00  9.9971601E-01
4.1686938E+00  9.9973206E-01
4.2657952E+00  9.9973800E-01
4.3651583E+00  9.9975272E-01
4.4668359E+00  9.9977488E-01
4.5708819E+00  9.9977989E-01
4.6773514E+00  9.9980062E-01
4.7863009E+00  9.9980430E-01
4.8977882E+00  9.9982390E-01
5.0118723E+00  9.9983538E-01
5.1286138E+00  9.9984452E-01
5.2480746E+00  9.9984709E-01
5.3703180E+00  9.9985192E-01
5.4954087E+00  9.9987394E-01
5.6234133E+00  9.9987450E-01
5.7543994E+00  9.9988267E-01
5.8884366E+00  9.9989926E-01
6.0255959E+00  9.9990642E-01
6.1659500E+00  9.9991375E-01
6.3095734E+00  9.9991234E-01
6.4565423E+00  9.9992746E-01
6.6069345E+00  9.9992527E-01
6.7608298E+00  9.9993962E-01
6.9183097E+00  9.9993667E-01
7.0794578E+00  9.9995063E-01
7.2443596E+00  9.9994738E-01
7.4131024E+00  9.9995259E-01
7.5857758E+00  9.9995745E-01
7.7624712E+00  9.9997026E-01
7.9432823E+00  9.9997381E-01
8.1283052E+00  9.9997020E-01
8.3176377E+00  9.9998283E-01
8.5113804E+00  9.9998677E-01
8.7096359E+00  9.9997673E-01
8.9125094E+00  9.9998492E-01
9.1201084E+00  9.9999686E-01
9.3325430E+00  9.9999506E-01
9.5499259E+00  9.9999435E-01
9.7723722E+00  1.0000014E+00
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
