# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
3.591062E+01        -2.949186E+02        2.626876E+01        
3.587836E+01        -2.941244E+02        2.619803E+01        
3.584613E+01        -2.933324E+02        2.612749E+01        
3.581393E+01        -2.925425E+02        2.605714E+01        
3.578176E+01        -2.917547E+02        2.598698E+01        
3.574961E+01        -2.909690E+02        2.591701E+01        
3.571750E+01        -2.901855E+02        2.584723E+01        
3.568541E+01        -2.894041E+02        2.577763E+01        
3.565336E+01        -2.886247E+02        2.570822E+01        
3.562133E+01        -2.878475E+02        2.563900E+01        
3.558933E+01        -2.870724E+02        2.556997E+01        
3.555736E+01        -2.862993E+02        2.550112E+01        
3.552542E+01        -2.855283E+02        2.543246E+01        
3.549351E+01        -2.847594E+02        2.536398E+01        
3.546162E+01        -2.839926E+02        2.529568E+01        
3.542977E+01        -2.832278E+02        2.522757E+01        
3.539794E+01        -2.824651E+02        2.515965E+01        
3.536614E+01        -2.817045E+02        2.509190E+01        
3.533437E+01        -2.809459E+02        2.502434E+01        
3.530263E+01        -2.801893E+02        2.495696E+01        
3.527092E+01        -2.794348E+02        2.488976E+01        
3.523923E+01        -2.786823E+02        2.482274E+01        
3.520758E+01        -2.779319E+02        2.475591E+01        
3.517595E+01        -2.771834E+02        2.468925E+01        
3.514435E+01        -2.764370E+02        2.462277E+01        
3.511278E+01        -2.756926E+02        2.455647E+01        
3.508124E+01        -2.749502E+02        2.449035E+01        
3.504972E+01        -2.742098E+02        2.442441E+01        
3.501824E+01        -2.734714E+02        2.435865E+01        
3.498678E+01        -2.727349E+02        2.429306E+01        
3.495535E+01        -2.720005E+02        2.422765E+01        
3.492395E+01        -2.712680E+02        2.416241E+01        
3.489258E+01        -2.705375E+02        2.409736E+01        
3.486123E+01        -2.698090E+02        2.403247E+01        
3.482991E+01        -2.690824E+02        2.396776E+01        
3.479863E+01        -2.683578E+02        2.390323E+01        
3.476737E+01        -2.676351E+02        2.383887E+01        
3.473613E+01        -2.669144E+02        2.377468E+01        
3.470493E+01        -2.661956E+02        2.371066E+01        
3.467375E+01        -2.654788E+02        2.364682E+01        
3.464261E+01        -2.647639E+02        2.358315E+01        
3.461149E+01        -2.640509E+02        2.351965E+01        
3.458039E+01        -2.633399E+02        2.345632E+01        
3.454933E+01        -2.626307E+02        2.339316E+01        
3.451829E+01        -2.619235E+02        2.333018E+01        
3.448729E+01        -2.612181E+02        2.326736E+01        
3.445630E+01        -2.605147E+02        2.320471E+01        
3.442535E+01        -2.598131E+02        2.314223E+01        
3.439443E+01        -2.591135E+02        2.307992E+01        
3.436353E+01        -2.584157E+02        2.301777E+01        
3.433266E+01        -2.577198E+02        2.295580E+01        
3.430182E+01        -2.570258E+02        2.289399E+01        
3.427101E+01        -2.563337E+02        2.283234E+01        
3.424022E+01        -2.556434E+02        2.277086E+01        
3.420946E+01        -2.549550E+02        2.270955E+01        
3.417873E+01        -2.542684E+02        2.264840E+01        
3.414803E+01        -2.535837E+02        2.258742E+01        
3.411735E+01        -2.529008E+02        2.252660E+01        
3.408670E+01        -2.522198E+02        2.246595E+01        
3.405608E+01        -2.515405E+02        2.240546E+01        
