# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
5.2480746E-01  8.8569257E-01
5.3703180E-01  8.9064519E-01
5.4954087E-01  8.9538788E-01
5.6234133E-01  8.9993423E-01
5.7543994E-01  9.0429961E-01
5.8884366E-01  9.0847164E-01
6.0255959E-01  9.1247830E-01
6.1659500E-01  9.1630736E-01
6.3095734E-01  9.1997911E-01
6.4565423E-01  9.2350417E-01
6.6069345E-01  9.2688111E-01
6.7608298E-01  9.3010853E-01
6.9183097E-01  9.3318729E-01
7.0794578E-01  9.3615283E-01
7.2443596E-01  9.3897227E-01
7.4131024E-01  9.4168916E-01
7.5857758E-01  9.4427189E-01
7.7624712E-01  9.4675109E-01
7.9432823E-01  9.4913152E-01
8.1283052E-01  9.5139991E-01
8.3176377E-01  9.5357169E-01
8.5113804E-01  9.5563991E-01
8.7096359E-01  9.5763064E-01
8.9125094E-01  9.5952852E-01
9.1201084E-01  9.6134314E-01
9.3325430E-01  9.6308100E-01
9.5499259E-01  9.6473695E-01
9.7723722E-01  9.6631441E-01
1.0000000E+00  9.6783135E-01
1.0232930E+00  9.6928935E-01
1.0471285E+00  9.7067536E-01
1.0715193E+00  9.7199939E-01
1.0964782E+00  9.7325740E-01
1.1220185E+00  9.7446671E-01
1.1481536E+00  9.7563104E-01
1.1748976E+00  9.7672795E-01
1.2022644E+00  9.7779264E-01
1.2302688E+00  9.7880227E-01
1.2589254E+00  9.7976514E-01
1.2882496E+00  9.8067972E-01
1.3182567E+00  9.8156809E-01
1.3489629E+00  9.8240925E-01
1.3803843E+00  9.8320395E-01
1.4125375E+00  9.8398059E-01
1.4454398E+00  9.8470473E-01
1.4791084E+00  9.8540594E-01
1.5135612E+00  9.8607560E-01
1.5488166E+00  9.8672352E-01
1.5848932E+00  9.8732535E-01
1.6218101E+00  9.8791810E-01
1.6595869E+00  9.8847488E-01
1.6982437E+00  9.8899743E-01
1.7378008E+00  9.8950569E-01
1.7782794E+00  9.8999657E-01
1.8197009E+00  9.9045198E-01
1.8620871E+00  9.9090410E-01
1.9054607E+00  9.9132762E-01
1.9498446E+00  9.9173210E-01
1.9952623E+00  9.9211882E-01
2.0417379E+00  9.9247924E-01
2.0892961E+00  9.9283526E-01
2.1379621E+00  9.9317225E-01
2.1877616E+00  9.9349405E-01
2.2387211E+00  9.9380960E-01
2.2908677E+00  9.9410422E-01
2.3442288E+00  9.9438395E-01
2.3988329E+00  9.9465171E-01
2.4547089E+00  9.9490776E-01
2.5118864E+00  9.9515176E-01
2.5703958E+00  9.9537617E-01
2.6302680E+00  9.9559847E-01
2.6915348E+00  9.9581855E-01
2.7542287E+00  9.9601244E-01
2.8183829E+00  9.9620654E-01
2.8840315E+00  9.9640014E-01
2.9512092E+00  9.9657769E-01
3.0199517E+00  9.9673749E-01
3.0902954E+00  9.9689934E-01
3.1622777E+00  9.9706134E-01
3.2359366E+00  9.9720070E-01
3.3113112E+00  9.9734978E-01
3.3884416E+00  9.9748352E-01
3.4673685E+00  9.9761225E-01
3.5481339E+00  9.9772621E-01
3.6307805E+00  9.9785120E-01
3.7153523E+00  9.9796313E-01
3.8018940E+00  9.9806098E-01
3.8904514E+00  9.9816315E-01
3.9810717E+00  9.9826894E-01
4.0738028E+00  9.9836175E-01
4.1686938E+00  9.9845065E-01
4.2657952E+00  9.9852643E-01
4.3651583E+00  9.9860757E-01
4.4668359E+00  9.9869338E-01
