# BBN prediction of the primordial abundances (Helium-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, $N_{eff} = 3.0440$ because of QED effects and incomplete neurino decoupling (see, e.g., arXiv:2001.04466).
#
# Computation performed with PRyMordial, see arXiv:2307.07061. 
# Latest version of the code at the GitHub repo: https://github.com/vallima/PRyMordial
# Details on the ab-initio computation of neutron freeze out implemented in PRyMordial can be found in arXiv:1801.08023.
# Thermonuclear rates adopted comprise the most recent measurement from LUNA and mainly rely on the NACRE II compilation.
#
# Neutron Decay rate $\tau_n$ follows what recommended in the Particle Data Group 2023.
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty).
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons at the end of BBN, and does not include
# any extra production of He4 by stars after BBN. 
#
# Errors are computed with a Monte Carlo approach where both nuclear rates and neutron life time uncertainties are accounted for.
# For more details, see the Jupiter notebook: https://github.com/vallima/PRyMordial/blob/main/PRyMdemoSM.ipynb
# 
#         ombh2                   eta10                     DeltaN                    Yp                      Yp^BBN                  sig(Yp^BBN)              D/H                      sig(D/H)  
2.179999999999999993e-02 5.967715240973520352e+00 -3.000000000000000000e+00 1.893158442417171849e-01 1.904147022721258409e-01 1.304396914978339715e-04 1.525791658395659811e-05 5.841379156726055124e-07
2.199999999999999872e-02 6.022464922083368144e+00 -3.000000000000000000e+00 1.894115487053627256e-01 1.905108316907485055e-01 1.332208355239654189e-04 1.495889897415786061e-05 6.372302842236229122e-07
2.220000000000000098e-02 6.077214603193218601e+00 -3.000000000000000000e+00 1.894743604644159030e-01 1.905739222997589744e-01 1.244572119206595600e-04 1.478790942649065612e-05 5.869989301731173201e-07
2.239999999999999977e-02 6.131964284303066393e+00 -3.000000000000000000e+00 1.895605241944829933e-01 1.906604684392508020e-01 1.222707068853471659e-04 1.453612552644520994e-05 5.796945836480664696e-07
2.259999999999999856e-02 6.186713965412915073e+00 -3.000000000000000000e+00 1.896388434642675980e-01 1.907391351939259627e-01 1.296947744565964502e-04 1.434152144172383200e-05 5.995909175385802106e-07
2.280000000000000082e-02 6.241463646522764641e+00 -3.000000000000000000e+00 1.897201200911663166e-01 1.908207723371098952e-01 1.351417350170020144e-04 1.411334135964787162e-05 5.560041532405000560e-07
2.299999999999999961e-02 6.296213327632613321e+00 -3.000000000000000000e+00 1.898029466851895719e-01 1.909039662410216831e-01 1.321338148961475939e-04 1.392253121146895887e-05 5.463689700581350053e-07
2.319999999999999840e-02 6.350963008742461113e+00 -3.000000000000000000e+00 1.898965856266740804e-01 1.909980203192412906e-01 1.306393884367195780e-04 1.363408607918139088e-05 5.526830148442828672e-07
2.340000000000000066e-02 6.405712689852311570e+00 -3.000000000000000000e+00 1.899579163321099273e-01 1.910596228494895188e-01 1.344211919591504990e-04 1.349667296799055566e-05 5.519863331079998182e-07
2.359999999999999945e-02 6.460462370962159362e+00 -3.000000000000000000e+00 1.900400593759666024e-01 1.911421298881210706e-01 1.331391610622891300e-04 1.327494974448655582e-05 5.500205745494568416e-07
2.380000000000000171e-02 6.515212052072008930e+00 -3.000000000000000000e+00 1.901235348072975728e-01 1.912259751229521965e-01 1.296602220599416173e-04 1.305671130656761542e-05 5.487045536491660859e-07
2.400000000000000050e-02 6.569961733181856722e+00 -3.000000000000000000e+00 1.901941048869110751e-01 1.912968577466591658e-01 1.317400592976100172e-04 1.282243527642418298e-05 5.266476148254405899e-07
2.500000000000000139e-02 6.843710138731101900e+00 -3.000000000000000000e+00 1.905822608307947419e-01 1.916867315062651678e-01 1.361549852088379711e-04 1.191102464249971746e-05 5.113023278848459305e-07
2.599999999999999881e-02 7.117458544280344412e+00 -3.000000000000000000e+00 1.909292421177225252e-01 1.920352465768068728e-01 1.273522633669877334e-04 1.110051082196387610e-05 4.684122774651071130e-07
2.699999999999999969e-02 7.391206949829589590e+00 -3.000000000000000000e+00 1.912734402601359573e-01 1.923809644629739524e-01 1.327972205151435896e-04 1.032170618429171750e-05 4.361191302392073296e-07
2.800000000000000058e-02 7.664955355378833879e+00 -3.000000000000000000e+00 1.916043765321577552e-01 1.927133603186297617e-01 1.368236529943225150e-04 9.638917754012053254e-06 4.252808047269719152e-07
